geneName	hDE_rank
KRT8P11	486
ANKRD33B	487
GABRG2	488
C2orf71	489
SERPINE2	490
TNR	491
PSMC1P1	492
RASL12	493
CACNA1B	494
CLDN16	495
KCNE4	496
RAC1P2	497
ASS1	498
C3orf36	499
DLEC1	500
KCNJ3	501
TRBV23-1	502
MAN1A2	503
RGPD3	504
CLEC19A	505
GJA4	506
PDZD4	507
HHLA1	508
SLC22A15	509
NUDT10	510
TCEA1P2	511
CECR2	512
PLEKHG7	513
NQO1	514
EGLN3	515
RALGPS2	516
BDKRB2	517
COL22A1	518
KRT16P1	519
SEMA3A	520
TLR7	521
L1TD1	522
TRPA1	523
THSD7B	524
ZNF80	525
SPACA4	526
RIPK4	527
PRKAG3	528
ATF5	529
FAM13C	530
