guide	cellcount	effect_cluster_log10p	effect_cluster_p_0_05	effect_target_log10p	effect_target_p_0_05	effect_global_notes			
FOXJ3_gRNA1	96	0.0	FALSE	-3.9	TRUE	Uncertain			
FOXJ3_gRNA2	84	0.0	FALSE	-3.9	TRUE	No detectable effect			
FOXJ3_gRNA3	90	0.0	FALSE	-4.8	TRUE	No detectable effect			
FOXM1_gRNA1	30	0.0	FALSE	-2.4	TRUE	No detectable effect			
FOXM1_gRNA2	46	0.0	FALSE	-3.9	TRUE	No detectable effect			
FOXM1_gRNA3	37	0.0	FALSE	-3.0	TRUE	No detectable effect			
FOXQ1_gRNA1	40	0.0	FALSE	-1.1	FALSE	No detectable effect			
FOXQ1_gRNA2	91	0.0	FALSE	-1.0	FALSE	LEFTY affected			
FOXQ1_gRNA3	69	-1.3	TRUE	-1.7	TRUE	No detectable effect			
GATA4_gRNA1	0								
GATA4_gRNA2	106	-1.1	FALSE	-3.5	TRUE	No detectable effect			
GATA4_gRNA3	181	0.0	FALSE	-1.6	TRUE	No detectable effect			
GATA6_gRNA1	28	-4.6	TRUE	-2.3	TRUE	Strong correlation; LEFTY affected			
GATA6_gRNA2	28	0.0	FALSE	-1.6	TRUE	Strong correlation; LEFTY affected			
GATA6_gRNA3	58	0.0	FALSE	-1.0	FALSE	Uncertain			
GSC_gRNA1	129	-3.1	TRUE	-0.1	FALSE	Strong correlation; LEFTY affected			
GSC_gRNA2	118	0.0	FALSE	-4.0	TRUE	Strong correlation; LEFTY affected			
GSC_gRNA3	94	0.0	FALSE	0.0	FALSE	No detectable effect			
HBP1_gRNA1	73	0.0	FALSE	-1.8	TRUE	No detectable effect			
HBP1_gRNA2	81	0.0	FALSE	-3.9	TRUE	No detectable effect			
HBP1_gRNA3	96	0.0	FALSE	-0.9	FALSE	No detectable effect			
HMBOX1_gRNA1	63	0.0	FALSE	-1.6	TRUE	No detectable effect			
HMBOX1_gRNA2	74	0.0	FALSE	-0.7	FALSE	No detectable effect			
HMBOX1_gRNA3	82	0.0	FALSE	-2.0	TRUE	No detectable effect			
HSF2_gRNA1	111	0.0	FALSE	-1.0	FALSE	No detectable effect			
HSF2_gRNA2	73	-0.1	FALSE	-3.0	TRUE	No detectable effect			
HSF2_gRNA3	101	-0.3	FALSE	-4.7	TRUE	No detectable effect			
JUND_gRNA1	113	0.0	FALSE	-5.8	TRUE	No detectable effect			
JUND_gRNA2	95	0.0	FALSE	-4.1	TRUE	No detectable effect			
JUND_gRNA3	83	0.0	FALSE	-4.8	TRUE	No detectable effect			
MAX_gRNA1	85	0.0	FALSE	-8.7	TRUE	uncertain			
MAX_gRNA2	112	-1.3	TRUE	-13.0	TRUE	Visible trend			
MAX_gRNA3	67	0.0	FALSE	-6.8	TRUE	Visible trend			
MIXL1_gRNA1	141	-7.3	TRUE	-13.2	TRUE	Strong correlation; POU5F1 affected			
MIXL1_gRNA2	139	-3.8	TRUE	-9.7	TRUE	Strong correlation; POU5F1 affected			
MIXL1_gRNA3	149	-7.1	TRUE	-12.7	TRUE	Strong correlation; POU5F1 affected			
MLXIP_gRNA1	94	0.0	FALSE	-4.3	TRUE	No detectable effect			
MLXIP_gRNA2	88	0.0	FALSE	-5.3	TRUE	No detectable effect			
MLXIP_gRNA3	100	0.0	FALSE	-6.4	TRUE	No detectable effect			
MNT_gRNA1	42	0.0	FALSE	-0.2	FALSE	No detectable effect			
MNT_gRNA2	31	0.0	FALSE	-1.0	FALSE	No detectable effect			
MNT_gRNA3	50	0.0	FALSE	-0.6	FALSE	No detectable effect			
MYBL2_gRNA2	2								
MYBL2_gRNA3	1								
NFE2L2_gRNA1	32	0.0	FALSE	-6.0	TRUE	Uncertain			
NFE2L2_gRNA2	81	0.0	FALSE	-8.0	TRUE	No detectable effect			
NFE2L2_gRNA3	99	0.0	FALSE	-8.2	TRUE	No detectable effect			
NFYB_gRNA1	5	0.0	FALSE	-1.1	FALSE	Strong correlation; LEFTY affected			
NFYB_gRNA2	6	0.0	FALSE	-1.0	FALSE	Strong correlation			
NFYB_gRNA3	67	0.0	FALSE	-0.6	FALSE	No detectable effect			
NR5A2_gRNA1	66	0.0	FALSE	-0.1	FALSE	No detectable effect			
NR5A2_gRNA2	81	0.0	FALSE	-0.8	FALSE	No detectable effect			
NR5A2_gRNA3	97	0.0	FALSE	-0.1	FALSE	No detectable effect			
OTX2_gRNA1	87								
OTX2_gRNA2	71	0.0	FALSE	-0.5	FALSE	No detectable effect			
OTX2_gRNA3	77	0.0	FALSE	-2.7	TRUE	No detectable effect			
PBX2_gRNA1	44	0.0	FALSE	-4.2	TRUE	No detectable effect			
PBX2_gRNA2	85	0.0	FALSE	-5.3	TRUE	No detectable effect			
PBX2_gRNA3	85	0.0	FALSE	-6.4	TRUE	No detectable effect			
PITX2_gRNA1	68	0.0	FALSE	-0.9	FALSE	No detectable effect			
PITX2_gRNA2	116	0.0	FALSE	-0.6	FALSE	No detectable effect			
PITX2_gRNA3	80	-0.5	FALSE	-0.2	FALSE	No detectable effect			
RARA_gRNA1	142	0.0	FALSE	-0.8	FALSE	No detectable effect			
RARA_gRNA2	150	0.0	FALSE	-0.1	FALSE	No detectable effect			
RARA_gRNA3	25	0.0	FALSE	-0.2	FALSE	No detectable effect			
RREB1_gRNA1	167	0.0	FALSE	-4.6	TRUE	Strong correlation			
RREB1_gRNA2	249	0.0	FALSE	-2.5	TRUE	Strong correlation			
RREB1_gRNA3	185	0.0	FALSE	-1.8	TRUE	Strong correlation			
SMAD2_gRNA1	519	-175.1	TRUE	-28.6	TRUE	Strong correlation			
SMAD2_gRNA2	639	-177.2	TRUE	-22.7	TRUE	Strong correlation			
SMAD2_gRNA3	420	-189.8	TRUE	-32.9	TRUE	Strong correlation			
SMAD4_gRNA1	24	-30.6	TRUE	-2.0	TRUE	Strong correlation			
SMAD4_gRNA2	89	-72.9	TRUE	-2.5	TRUE	Strong correlation			
SMAD4_gRNA3	89	0.0	FALSE	-0.3	FALSE	No detectable effect			
SOX11_gRNA1	236	0.0	FALSE	-13.5	TRUE	Strong correlation; CD24 affected			
SOX11_gRNA2	97	0.0	FALSE	-8.5	TRUE	Borderline strong correlation; CD24 affected			
SOX11_gRNA3	105	0.0	FALSE	-9.9	TRUE	Weak correlation but CD24 affected			
SOX17_gRNA1	287	-149.6	TRUE	-46.6	TRUE	Strong correlation			
SOX17_gRNA2	279	-150.0	TRUE	-52.6	TRUE	Strong correlation			
SOX17_gRNA3	328	-148.6	TRUE	-59.1	TRUE	Strong correlation			
SP1_gRNA1	98	0.0	FALSE	-3.8	TRUE	Strong correlation			
SP1_gRNA2	96	0.0	FALSE	-4.1	TRUE	Borderline strong correlation			
SP1_gRNA3	102	0.0	FALSE	-2.5	TRUE	Strong correlation			
TGIF2_gRNA2	118	0.0	FALSE	-6.8	TRUE	No detectable effect			
TGIF2_gRNA3	123	0.0	FALSE	-5.9	TRUE	No detectable effect			
USF1_gRNA1	23	0.0	FALSE	-0.2	FALSE	Borderline strong correlation			
USF1_gRNA2	50	0.0	FALSE	-0.4	FALSE	No detectable effect			
USF1_gRNA3	42	0.0	FALSE	-0.3	FALSE	No detectable effect			
YY1_gRNA1	26	0.0	FALSE	-0.3	FALSE	Borderline strong correlation			
YY1_gRNA2	63	0.0	FALSE	-0.8	FALSE	No detectable effect			
YY1_gRNA3	88	0.0	FALSE	-0.3	FALSE	No detectable effect			
ZBTB33_gRNA1	95	-1.6	TRUE	-0.7	FALSE	Strong correlation; LEFTY affected			
ZBTB33_gRNA2	76	0.0	FALSE	-1.7	TRUE	No detectable effect			
ZBTB33_gRNA3	115	0.0	FALSE	-1.2	FALSE	No detectable effect			
ZIC3_gRNA1	106	0.0	FALSE	-0.6	FALSE	Weak correlation but LEFTY affected			
ZIC3_gRNA2	114	0.0	FALSE	-2.1	TRUE	No detectable effect			
ZIC3_gRNA3	167	-2.1	TRUE	-5.5	TRUE	No detectable effect			
ZNF143_gRNA1	34	0.0	FALSE	-1.3	TRUE	Borderline correlation but LEFTY affected			
ZNF143_gRNA2	85	0.0	FALSE	-0.5	FALSE	No detectable effect			
ZNF143_gRNA3	40	0.0	FALSE	-1.4	TRUE	Borderline correlation but LEFTY affected			
ZNF263_gRNA1	72	0.0	FALSE	-2.6	TRUE	No detectable effect			
ZNF263_gRNA2	77	0.0	FALSE	-0.1	FALSE	No detectable effect			
ZNF263_gRNA3	72	0.0	FALSE	-0.8	FALSE	No detectable effect			
ZNF410_gRNA1	70	0.0	FALSE	-1.8	TRUE	No detectable effect			
ZNF410_gRNA2	53	0.0	FALSE	-1.1	FALSE	No detectable effect			
ZNF410_gRNA3	69	0.0	FALSE	-1.7	TRUE	No detectable effect			
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
