species	HGNC	UniProtKB	gene	ID
HUMAN	30943	O00488	Zinc finger protein 593	ZNF593
HUMAN	17906	Q9BQ39	ATP-dependent RNA helicase DDX50	DDX50
HUMAN	29178	Q9UPW0	Forkhead box protein J3	FOXJ3
HUMAN	13913	Q96MA1	Doublesex- and mab-3-related transcription factor B1	DMRTB1
HUMAN	11730	O14746	Telomerase reverse transcriptase	TERT
HUMAN	11478	O75683	Surfeit locus protein 6	SURF6
HUMAN	24814	A8MYZ6	Forkhead box protein O6	FOXO6
HUMAN	11366	P42229	Signal transducer and activator of transcription 5A	STAT5A
HUMAN	19826	Q86U38	Nucleolar protein 9	NOP9
HUMAN	22203	O94880	PHD finger protein 14	PHF14
HUMAN	16945	Q9H074	Polyadenylate-binding protein-interacting protein 1	PAIP1
HUMAN	6833	P21397	Amine oxidase [flavin-containing] A	MAOA
HUMAN	30856	Q96G21	U3 small nucleolar ribonucleoprotein protein IMP4	IMP4
HUMAN	1058	P54132	Bloom syndrome protein	BLM
HUMAN	29038	Q5T2D3	OTU domain-containing protein 3	OTUD3
HUMAN	ENSG00000268461	M0R2T9	Uncharacterized protein	unassigned
HUMAN	26494	Q96MN5	Transcription elongation factor A N-terminal and central domain-containing protein 2	TCEANC2
HUMAN	16462	Q96SI9	Spermatid perinuclear RNA-binding protein	STRBP
HUMAN	29207	Q8N1G4	Leucine-rich repeat-containing protein 47	LRRC47
HUMAN	3189	P68104	Elongation factor 1-alpha 1	EEF1A1
HUMAN	17037	Q8WVM0	"Dimethyladenosine transferase 1, mitochondrial"	TFB1M
HUMAN	2327	O95639	Cleavage and polyadenylation specificity factor subunit 4	CPSF4
HUMAN	13940	Q9Y333	U6 snRNA-associated Sm-like protein LSm2	LSM2
HUMAN	7325	P43246	DNA mismatch repair protein Msh2	MSH2
HUMAN	25787	Q96BT3	Centromere protein T	CENPT
HUMAN	886	P46100	Transcriptional regulator ATRX	ATRX
HUMAN	33284	Q5JQC4	Cancer/testis antigen 47A	CT47A1
HUMAN	11200	Q06945	Transcription factor SOX-4	SOX4
HUMAN	ENSG00000272647	F8WEM9	Uncharacterized protein	unassigned
HUMAN	26478	Q5T0U0	Coiled-coil domain-containing protein 122	CCDC122
HUMAN	17356	Q8IUX4	DNA dC-dU-editing enzyme APOBEC-3F	APOBEC3F
HUMAN	10479	P48443	Retinoic acid receptor RXR-gamma	RXRG
HUMAN	13871	Q16630	Cleavage and polyadenylation specificity factor subunit 6	CPSF6
HUMAN	24279	Q9BZJ4	Solute carrier family 25 member 39	SLC25A39
HUMAN	20255	Q9UHJ3	Scm-like with four MBT domains protein 1	SFMBT1
HUMAN	9178	P56282	DNA polymerase epsilon subunit 2	POLE2
HUMAN	18698	Q9UHL0	ATP-dependent RNA helicase DDX25	DDX25
HUMAN	5046	P52272	Heterogeneous nuclear ribonucleoprotein M	HNRNPM
HUMAN	11596	O60806	T-box transcription factor TBX19	TBX19
HUMAN	16925	Q96P48	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"	ARAP1
HUMAN	24502	O43379	WD repeat-containing protein 62	WDR62
HUMAN	9888	Q15291	Retinoblastoma-binding protein 5	RBBP5
HUMAN	15573	Q9Y6X0	SET-binding protein	SETBP1
HUMAN	18597	P59817	Zinc finger protein 280A	ZNF280A
HUMAN	10302	P30050	60S ribosomal protein L12	RPL12
HUMAN	17350	O60508	Pre-mRNA-processing factor 17	CDC40
HUMAN	13200	Q15942	Zyxin	ZYX
HUMAN	31894	Q5H9E4	Solute carrier family 25 member 53	SLC25A53
HUMAN	3494	P41161	ETS translocation variant 5	ETV5
HUMAN	11111	Q14683	Structural maintenance of chromosomes protein 1A	SMC1A
HUMAN	7132	Q03164	Histone-lysine N-methyltransferase 2A	KMT2A
HUMAN	10385	P25398	40S ribosomal protein S12	RPS12
HUMAN	16930	Q8IWX8	Calcium homeostasis endoplasmic reticulum protein	CHERP
HUMAN	5104	O43365	Homeobox protein Hox-A3	HOXA3
HUMAN	14359	Q9BZI1	Iroquois-class homeodomain protein IRX-2	IRX2
HUMAN	3212	O43324	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1
HUMAN	2917	Q92988	Homeobox protein DLX-4	DLX4
HUMAN	1851	P49450	Histone H3-like centromeric protein A	CENPA
HUMAN	30758	Q8NDF8	Non-canonical poly(A) RNA polymerase PAPD5	PAPD5
HUMAN	21220	Q8WXF0	Serine/arginine-rich splicing factor 12	SRSF12
HUMAN	14489	Q9NZE8	"39S ribosomal protein L35, mitochondrial"	MRPL35
HUMAN	10313	P46778	60S ribosomal protein L21	RPL21
HUMAN	777	Q15911	Zinc finger homeobox protein 3	ZFHX3
HUMAN	7835	O95096	Homeobox protein Nkx-2.2	NKX2-2
HUMAN	30164	Q6FIF0	AN1-type zinc finger protein 6	ZFAND6
HUMAN	20122	Q8NDG6	Putative ATP-dependent RNA helicase TDRD9	TDRD9
HUMAN	18242	Q8NEU8	DCC-interacting protein 13-beta	APPL2
HUMAN	27373	P0C7Q3	Putative cyclin-related protein FAM58B	FAM58BP
HUMAN	6917	Q9UBB5	Methyl-CpG-binding domain protein 2	MBD2
HUMAN	7548	P10244	Myb-related protein B	MYBL2
HUMAN	12517	P25874	Mitochondrial brown fat uncoupling protein 1	UCP1
HUMAN	882	Q13535	Serine/threonine-protein kinase ATR	ATR
HUMAN	32175	F5GXB4	Protein TPRX2P	TPRX2P
HUMAN	30348	Q9NW08	DNA-directed RNA polymerase III subunit RPC2	POLR3B
HUMAN	15802	Q9BWX5	Transcription factor GATA-5	GATA5
HUMAN	11957	Q93074	Mediator of RNA polymerase II transcription subunit 12	MED12
HUMAN	12836	Q9H0D6	5'-3' exoribonuclease 2	XRN2
HUMAN	29079	O60341	Lysine-specific histone demethylase 1A	KDM1A
HUMAN	7553	P01106	Myc proto-oncogene protein	MYC
HUMAN	270	P09874	Poly [ADP-ribose] polymerase 1	PARP1
HUMAN	29549	Q8N5J4	Transcription factor Spi-C	SPIC
HUMAN	30457	A6NED2	RCC1 domain-containing protein 1	RCCD1
HUMAN	13244	Q5C9Z4	Nucleolar MIF4G domain-containing protein 1	NOM1
HUMAN	3279	Q99613	Eukaryotic translation initiation factor 3 subunit C	EIF3C
HUMAN	16469	Q15057	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	ACAP2
HUMAN	19003	Q96GD3	Polycomb protein SCMH1	SCMH1
HUMAN	ENSG00000180574	F8W810	Uncharacterized protein	unassigned
HUMAN	30349	Q9Y535	DNA-directed RNA polymerase III subunit RPC8	POLR3H
HUMAN	4977	Q16534	Hepatic leukemia factor	HLF
HUMAN	20718	Q8TE49	OTU domain-containing protein 7A	OTUD7A
HUMAN	14493	Q9Y6G3	"39S ribosomal protein L42, mitochondrial"	MRPL42
HUMAN	10405	P60866	40S ribosomal protein S20	RPS20
HUMAN	5099	P49639	Homeobox protein Hox-A1	HOXA1
HUMAN	29503	Q96JN0	Ligand-dependent corepressor	LCOR
HUMAN	4979	P50219	Motor neuron and pancreas homeobox protein 1	MNX1
HUMAN	14048	Q9Y3D3	"28S ribosomal protein S16, mitochondrial"	MRPS16
HUMAN	4929	P10073	Zinc finger and SCAN domain-containing protein 22	ZSCAN22
HUMAN	19961	Q9UNK9	Protein angel homolog 1	ANGEL1
HUMAN	10410	P62266	40S ribosomal protein S23	RPS23
HUMAN	11623	Q99081	Transcription factor 12	TCF12
HUMAN	29642	A6NFN9	Protein ANKUB1	ANKUB1
HUMAN	10416	P42677	40S ribosomal protein S27	RPS27
HUMAN	1092	P58012	Forkhead box protein L2	FOXL2
HUMAN	17151	Q9Y5N6	Origin recognition complex subunit 6	ORC6
HUMAN	18668	O15156	Zinc finger and BTB domain-containing protein 7B	ZBTB7B
HUMAN	30988	Q6ZN30	Zinc finger protein basonuclin-2	BNC2
HUMAN	17066	Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	ACIN1
HUMAN	3280	P55884	Eukaryotic translation initiation factor 3 subunit B	EIF3B
HUMAN	3818	Q08050	Forkhead box protein M1	FOXM1
HUMAN	22921	Q9BXI2	Mitochondrial ornithine transporter 2	SLC25A2
HUMAN	1556	O95503	Chromobox protein homolog 6	CBX6
HUMAN	10046	P12724	Eosinophil cationic protein	RNASE3
HUMAN	3340	Q04741	Homeobox protein EMX1	EMX1
HUMAN	5003	Q9UGU5	HMG domain-containing protein 4	HMGXB4
HUMAN	26328	A6NJ46	Homeobox protein Nkx-6.3	NKX6-3
HUMAN	8489	Q9UBD5	Origin recognition complex subunit 3	ORC3
HUMAN	3341	Q04743	Homeobox protein EMX2	EMX2
HUMAN	10471	Q01196	Runt-related transcription factor 1	RUNX1
HUMAN	12456	Q15695	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1	ZRSR1
HUMAN	18333	Q4W5G0	Tigger transposable element-derived protein 2	TIGD2
HUMAN	11615	O75764	Transcription elongation factor A protein 3	TCEA3
HUMAN	27036	Q86SE5	RNA-binding Raly-like protein	RALYL
HUMAN	5172	O43593	Protein hairless	HR
HUMAN	792	P17544	Cyclic AMP-dependent transcription factor ATF-7	ATF7
HUMAN	30451	Q6ZT89	Solute carrier family 25 member 48	SLC25A48
HUMAN	7974	Q9Y5X4	Photoreceptor-specific nuclear receptor	NR2E3
HUMAN	12453	Q01081	Splicing factor U2AF 35 kDa subunit	U2AF1
HUMAN	7067	P33076	MHC class II transactivator	CIITA
HUMAN	5004	O15347	High mobility group protein B3	HMGB3
HUMAN	7804	P23511	Nuclear transcription factor Y subunit alpha	NFYA
HUMAN	450	Q9H161	Homeobox protein aristaless-like 4	ALX4
HUMAN	10477	P19793	Retinoic acid receptor RXR-alpha	RXRA
HUMAN	963	Q9UIF8	Bromodomain adjacent to zinc finger domain protein 2B	BAZ2B
HUMAN	8619	Q02548	Paired box protein Pax-5	PAX5
HUMAN	15935	Q9H4I2	Zinc fingers and homeoboxes protein 3	ZHX3
HUMAN	16918	O60506	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP
HUMAN	30796	Q9Y3F4	Serine-threonine kinase receptor-associated protein	STRAP
HUMAN	9806	O60671	Cell cycle checkpoint protein RAD1	RAD1
HUMAN	11195	P48431	Transcription factor SOX-2	SOX2
HUMAN	4755	Q93079	Histone H2B type 1-H	HIST1H2BH
HUMAN	25311	Q71DI3	Histone H3.2	HIST2H3A
HUMAN	10527	Q9BXA9	Sal-like protein 3	SALL3
HUMAN	17097	Q13868	Exosome complex component RRP4	EXOSC2
HUMAN	11340	Q15532	Protein SSXT	SS18
HUMAN	8550	Q9UQ80	Proliferation-associated protein 2G4	PA2G4
HUMAN	3317	Q15723	ETS-related transcription factor Elf-2	ELF2
HUMAN	29243	Q9P2N5	RNA-binding protein 27	RBM27
HUMAN	3490	P50549	ETS translocation variant 1	ETV1
HUMAN	4170	P15976	Erythroid transcription factor	GATA1
HUMAN	14879	Q9UL03	Integrator complex subunit 6	INTS6
HUMAN	14981	P51003	Poly(A) polymerase alpha	PAPOLA
HUMAN	11612	P23193	Transcription elongation factor A protein 1	TCEA1
HUMAN	20473	Q9BX63	Fanconi anemia group J protein	BRIP1
HUMAN	14533	P0CB47	Putative upstream-binding factor 1-like protein 1	UBTFL1
HUMAN	6770	Q13485	Mothers against decapentaplegic homolog 4	SMAD4
HUMAN	3278	O15371	Eukaryotic translation initiation factor 3 subunit D	EIF3D
HUMAN	5112	Q92826	Homeobox protein Hox-B13	HOXB13
HUMAN	13172	O43309	Zinc finger and SCAN domain-containing protein 12	ZSCAN12
HUMAN	11645	Q9UH92	Max-like protein X	MLX
HUMAN	30833	O75956	Cyclin-dependent kinase 2-associated protein 2	CDK2AP2
HUMAN	14010	Q8IWI9	MAX gene-associated protein	MGA
HUMAN	28945	Q15061	WD repeat-containing protein 43	WDR43
HUMAN	10299	P62906	60S ribosomal protein L10a	RPL10A
HUMAN	24286	Q9Y3A4	Ribosomal RNA-processing protein 7 homolog A	RRP7A
HUMAN	19423	Q9UNL4	Inhibitor of growth protein 4	ING4
HUMAN	11155	P08579	U2 small nuclear ribonucleoprotein B''	SNRPB2
HUMAN	11465	Q9Y5B9	FACT complex subunit SPT16	SUPT16H
HUMAN	1105	Q58F21	Bromodomain testis-specific protein	BRDT
HUMAN	12312	Q15651	High mobility group nucleosome-binding domain-containing protein 3	HMGN3
HUMAN	11557	Q16559	T-cell acute lymphocytic leukemia protein 2	TAL2
HUMAN	17162	Q9Y4Y9	U6 snRNA-associated Sm-like protein LSm5	LSM5
HUMAN	3436	Q92889	DNA repair endonuclease XPF	ERCC4
HUMAN	8609	O95453	Poly(A)-specific ribonuclease PARN	PARN
HUMAN	5043	P31942	Heterogeneous nuclear ribonucleoprotein H3	HNRNPH3
HUMAN	13875	O15409	Forkhead box protein P2	FOXP2
HUMAN	11241	P17947	Transcription factor PU.1	SPI1
HUMAN	8521	P32242	Homeobox protein OTX1	OTX1
HUMAN	5139	P13378	Homeobox protein Hox-D8	HOXD8
HUMAN	25701	Q3L8U1	Chromodomain-helicase-DNA-binding protein 9	CHD9
HUMAN	5017	Q9NP08	Homeobox protein HMX1	HMX1
HUMAN	25424	Q8N567	Zinc finger CCHC domain-containing protein 9	ZCCHC9
HUMAN	26152	Q9H6T0	Epithelial splicing regulatory protein 2	ESRP2
HUMAN	30297	Q9P258	Protein RCC2	RCC2
HUMAN	13403	Q9BYU1	Pre-B-cell leukemia transcription factor 4	PBX4
HUMAN	19071	Q86V81	THO complex subunit 4	ALYREF
HUMAN	32942	Q9HB31	Homeobox protein SEBOX	SEBOX
HUMAN	29010	O15047	Histone-lysine N-methyltransferase SETD1A	SETD1A
HUMAN	18662	Q9Y2V3	Retinal homeobox protein Rx	RAX
HUMAN	7000	O00470	Homeobox protein Meis1	MEIS1
HUMAN	17286	Q9Y3B2	Exosome complex component CSL4	EXOSC1
HUMAN	4733	Q93077	Histone H2A type 1-C	HIST1H2AC
HUMAN	21175	A2A288	Probable ribonuclease ZC3H12D	ZC3H12D
HUMAN	3821	O43524	Forkhead box protein O3	FOXO3
HUMAN	15840	Q9UMN6	Histone-lysine N-methyltransferase 2B	KMT2B
HUMAN	18286	Q96IS3	Retina and anterior neural fold homeobox protein 2	RAX2
HUMAN	9823	O75771	DNA repair protein RAD51 homolog 4	RAD51D
HUMAN	11644	Q15906	Vacuolar protein sorting-associated protein 72 homolog	VPS72
HUMAN	11603	P57082	T-box transcription factor TBX4	TBX4
HUMAN	10981	Q02978	Mitochondrial 2-oxoglutarate/malate carrier protein	SLC25A11
HUMAN	6919	O95243	Methyl-CpG-binding domain protein 4	MBD4
HUMAN	24867	Q9NZD2	Glycolipid transfer protein	GLTP
HUMAN	10473	Q13761	Runt-related transcription factor 3	RUNX3
HUMAN	10369	P32969	60S ribosomal protein L9	RPL9
HUMAN	13918	P48634	Protein PRRC2A	PRRC2A
HUMAN	7978	P04150	Glucocorticoid receptor	NR3C1
HUMAN	2745	O00571	ATP-dependent RNA helicase DDX3X	DDX3X
HUMAN	16960	P52954	Transcription factor LBX1	LBX1
HUMAN	19652	Q7RTT6	Putative protein SSX6	SSX6
HUMAN	4867	Q15751	Probable E3 ubiquitin-protein ligase HERC1	HERC1
HUMAN	7531	Q14764	Major vault protein	MVP
HUMAN	6781	O15525	Transcription factor MafG	MAFG
HUMAN	2744	Q9NR30	Nucleolar RNA helicase 2	DDX21
HUMAN	28963	Q15006	ER membrane protein complex subunit 2	EMC2
HUMAN	14948	Q96I51	Williams-Beuren syndrome chromosomal region 16 protein	WBSCR16
HUMAN	11729	Q15554	Telomeric repeat-binding factor 2	TERF2
HUMAN	18128	Q969S8	Histone deacetylase 10	HDAC10
HUMAN	9455	O75360	Homeobox protein prophet of Pit-1	PROP1
HUMAN	10882	P81133	Single-minded homolog 1	SIM1
HUMAN	7817	Q02575	Helix-loop-helix protein 1	NHLH1
HUMAN	10388	P62841	40S ribosomal protein S15	RPS15
HUMAN	12340	Q9UHF7	Zinc finger transcription factor Trps1	TRPS1
HUMAN	2184	P38432	Coilin	COIL
HUMAN	19094	Q96RQ9	L-amino-acid oxidase	IL4I1
HUMAN	25654	Q86YA3	Uncharacterized protein C4orf21	C4orf21
HUMAN	44672	P0DMB2	Uncharacterized protein C8orf88	C8orf88
HUMAN	2738	O43143	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15
HUMAN	18138	Q9Y262	Eukaryotic translation initiation factor 3 subunit L	EIF3L
HUMAN	21193	Q3MJ62	Zinc finger and SCAN domain-containing protein 23	ZSCAN23
HUMAN	11209	Q02446	Transcription factor Sp4	SP4
HUMAN	7127	P40692	DNA mismatch repair protein Mlh1	MLH1
HUMAN	16716	Q7L2E3	Putative ATP-dependent RNA helicase DHX30	DHX30
HUMAN	2385	Q49AN0	Cryptochrome-2	CRY2
HUMAN	21536	A6NNA5	Dorsal root ganglia homeobox protein	DRGX
HUMAN	21575	Q8N157	Jouberin	AHI1
HUMAN	9004	P78337	Pituitary homeobox 1	PITX1
HUMAN	ENSG00000269237	M0R3E3	Uncharacterized protein (Fragment)	unassigned
HUMAN	644	P10275	Androgen receptor	AR
HUMAN	23170	O75717	WD repeat and HMG-box DNA-binding protein 1	WDHD1
HUMAN	9189	P19387	DNA-directed RNA polymerase II subunit RPB3	POLR2C
HUMAN	20161	O94842	TOX high mobility group box family member 4	TOX4
HUMAN	16734	Q86XN8	RNA-binding protein MEX3D	MEX3D
HUMAN	13853	Q9BRR0	Zinc finger protein with KRAB and SCAN domains 3	ZKSCAN3
HUMAN	16050	Q86YW9	Mediator of RNA polymerase II transcription subunit 12-like protein	MED12L
HUMAN	7643	O43776	"Asparagine--tRNA ligase, cytoplasmic"	NARS
HUMAN	18222	Q9NWB1	RNA binding protein fox-1 homolog 1	RBFOX1
HUMAN	7392	P35548	Homeobox protein MSX-2	MSX2
HUMAN	14498	P82675	"28S ribosomal protein S5, mitochondrial"	MRPS5
HUMAN	7139	P98177	Forkhead box protein O4	FOXO4
HUMAN	3182	P78364	Polyhomeotic-like protein 1	PHC1
HUMAN	18682	Q9H0S4	Probable ATP-dependent RNA helicase DDX47	DDX47
HUMAN	3296	Q04637	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1
HUMAN	8488	Q13416	Origin recognition complex subunit 2	ORC2
HUMAN	25082	Q8WU79	Stromal membrane-associated protein 2	SMAP2
HUMAN	14477	Q9H0U6	"39S ribosomal protein L18, mitochondrial"	MRPL18
HUMAN	10766	Q15428	Splicing factor 3A subunit 2	SF3A2
HUMAN	14013	Q9NTJ3	Structural maintenance of chromosomes protein 4	SMC4
HUMAN	4237	Q99684	Zinc finger protein Gfi-1	GFI1
HUMAN	10333	P62888	60S ribosomal protein L30	RPL30
HUMAN	32309	Q8N7F7	Ubiquitin-like protein 4B	UBL4B
HUMAN	16094	Q86UZ6	Zinc finger and BTB domain-containing protein 46	ZBTB46
HUMAN	24859	O95619	YEATS domain-containing protein 4	YEATS4
HUMAN	24969	Q8WTW4	Nitrogen permease regulator 2-like protein	NPRL2
HUMAN	25692	Q9HA90	EF-hand and coiled-coil domain-containing protein 1	EFCC1
HUMAN	30081	O95707	Ribonuclease P protein subunit p29	POP4
HUMAN	6642	P25791	Rhombotin-2	LMO2
HUMAN	3435	P19447	TFIIH basal transcription factor complex helicase XPB subunit	ERCC3
HUMAN	13083	Q9ULJ3	Zinc finger and BTB domain-containing protein 21	ZBTB21
HUMAN	3284	Q14240	Eukaryotic initiation factor 4A-II	EIF4A2
HUMAN	11161	P62304	Small nuclear ribonucleoprotein E	SNRPE
HUMAN	17287	Q9H5I1	Histone-lysine N-methyltransferase SUV39H2	SUV39H2
HUMAN	33886	P0CL84	Putative STAG3-like protein 2	STAG3L2
HUMAN	3192	Q05639	Elongation factor 1-alpha 2	EEF1A2
HUMAN	34047	A6NEJ1	Putative protein SSX10	SSX10
HUMAN	12505	P11441	Ubiquitin-like protein 4A	UBL4A
HUMAN	9970	P35250	Replication factor C subunit 2	RFC2
HUMAN	17894	Q14966	Zinc finger protein 638	ZNF638
HUMAN	70	Q8NE71	ATP-binding cassette sub-family F member 1	ABCF1
HUMAN	12468	P0CG48	Polyubiquitin-C	UBC
HUMAN	23721	Q7Z2W4	Zinc finger CCCH-type antiviral protein 1	ZC3HAV1
HUMAN	10316	P62829	60S ribosomal protein L23	RPL23
HUMAN	7818	Q02577	Helix-loop-helix protein 2	NHLH2
HUMAN	1744	Q99741	Cell division control protein 6 homolog	CDC6
HUMAN	7469	O75570	"Peptide chain release factor 1, mitochondrial"	MTRF1
HUMAN	20670	Q8WVJ9	Twist-related protein 2	TWIST2
HUMAN	14982	Q9BWT3	Poly(A) polymerase gamma	PAPOLG
HUMAN	17133	Q13342	Nuclear body protein SP140	SP140
HUMAN	9884	P06400	Retinoblastoma-associated protein	RB1
HUMAN	21019	Q5XKL5	BTB/POZ domain-containing protein 8	BTBD8
HUMAN	22048	P60323	Nanos homolog 3	NANOS3
HUMAN	975	O75934	Pre-mRNA-splicing factor SPF27	BCAS2
HUMAN	9702	Q96QR8	Transcriptional activator protein Pur-beta	PURB
HUMAN	20626	Q9P2D1	Chromodomain-helicase-DNA-binding protein 7	CHD7
HUMAN	6130	Q96AZ6	Interferon-stimulated gene 20 kDa protein	ISG20
